ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
1467,50.832182606724146,49.167817393275854,12.314531735853125,1.6643652134482974,2.3360892701720752,2.2586673908885433,-0.0
1500,50.8645407050235,49.1354592949765,12.74548944459435,1.7290814100469973,2.33323898712769,2.25870180104092,-0.0
1533,50.927832362596654,49.072167637403346,13.314675788338803,1.8556647251933036,2.331634429572219,2.258515094992004,-0.0
1567,50.98499097902211,49.01500902097789,14.07732328470977,1.9699819580442133,2.331634429572219,2.2585221379045186,-0.0
1600,51.01043098811996,48.98956901188004,14.767449265979394,2.0208619762399165,2.333093876347877,2.2585221379045186,-0.0
1633,51.02209746277855,48.97790253722145,15.297375061338379,2.0441949255570924,2.3323097608067975,2.259124602024052,-0.0
1667,51.036221801210964,48.963778198789036,15.652659274237717,2.0724436024219246,2.339886009697326,2.2588117340448037,-0.0
1700,51.05749687426282,48.94250312573718,15.996789791998978,2.114993748525639,2.339886009697326,2.2584031055641365,-0.0
1733,51.08950467171411,48.91049532828589,16.265295656999015,2.1790093434282234,2.341440593276779,2.2584031055641365,-0.0
1767,51.14156874795512,48.85843125204488,16.710527839536734,2.2831374959102333,2.340104814843494,2.2586744345134466,-0.0
1800,51.185557206007985,48.814442793992015,17.228540660551584,2.371114412015975,2.3409588990283976,2.258547423386474,-0.0
1833,51.21820032480223,48.78179967519777,17.75929356843204,2.436400649604464,2.3409588990283976,2.258280042253145,-0.0
1867,51.23834632675756,48.76165367324244,18.200702960945886,2.4766926535151104,2.342624074273679,2.258280042253145,-0.0
1900,51.25474844010528,48.74525155989472,18.54568282400462,2.5094968802105635,2.340827321090127,2.2588046897776426,-0.0
1933,51.2613431709814,48.7386568290186,18.810043427910088,2.522686341962798,2.3404258332967465,2.2583960632083957,-0.0
1967,51.27819252243937,48.72180747756063,18.901666426119885,2.556385044878732,2.3404258332967465,2.258431390767402,-0.0
